Tarih; Kredi_Hacmi; Faiz_Orani; Tuketici_Guveni; USD_TRY; TUFE
01.03.2023; 1271869033; 26.672; 80.13; 19.00347826; "1; 269.75"
01.04.2023; 1319564114; 29.2275; 87.52; 19.33703158; "1; 300.04"
01.05.2023; 1368472205; 32.0225; 91.06; 19.71951429; "1; 300.60"
01.06.2023; 1382546541; 38.56; 85.13; 23.10604211; "1; 351.59"
01.07.2023; 1412021257; 45.825; 80.07; 26.4703381; "1; 479.84"
01.08.2023; 1433705155; 45.765; 68.01; 26.99912727; "1; 614.31"
01.09.2023; 1448089782; 56.35; 71.47; 26.98944762; "1; 691.04"
01.10.2023; 1457324090; 59.3925; 74.62; 27.84611364; "1; 749.11"
01.11.2023; 1469492065; 58.655; 75.47; 28.63708182; "1; 806.50"
01.12.2023; 1513137212; 59.256; 77.42; 29.07485714; "1; 859.38"
01.01.2024; 1526301883; 61.0825; 80.42310949; 30.05375; "1; 984.02"
01.02.2024; 1561332812; 59.4925; 79.34287272; 30.75944762; "2; 073.88"
01.03.2024; 1622715376; 69.568; 79.35478993; 31.98674286; "2; 139.47"
01.04.2024; 1638390181; 79.1475; 80.46085072; 32.32946667; "2; 207.50"
01.05.2024; 1685823445; 74.158; 80.50803678; 32.24788182; "2; 281.85"
01.06.2024; 1724030503; 72.61; 78.30087847; 32.52123529; "2; 319.29"
01.07.2024; 1742662482; 73.85; 75.87954525; 32.89449545; "2; 394.10"
01.08.2024; 1794052067; 70.97; 76.36547339; 33.62124762; "2; 453.34"
01.09.2024; 1826366937; 68.6175; 78.22093197; 34.03046667; "2; 526.16"
01.10.2024; 1867664605; 67.0275; 80.55364561; 34.23258182; "2; 598.91"
01.11.2024; 1939473544; 66.038; 79.77236914; 34.42661905; "2; 657.23"
01.12.2024; 2008312864; 65.175; 81.27129334; 34.96670455; "2; 684.55"
